ZONE,HOUR,avg_ratio,pct_hours_saturated,n_days
MTY_Guadalupe,14,1.6584498722010523,40.0,30
Mitras Centro,13,1.616854591956012,40.0,30
San Nicolás,14,1.7343246547441955,36.666666666666664,30
San Nicolás,20,1.4803224229427643,36.666666666666664,30
Carretera Nacional,14,1.6648757723757723,33.33333333333333,30
Centro,12,1.5457741594389576,33.33333333333333,30
Centro,13,1.4962334854820272,33.33333333333333,30
Santiago,14,1.7426038776038775,30.0,30
Escobedo,14,1.62358354121512,30.0,30
Apodaca Centro,13,1.5802465497465499,30.0,30
San Nicolás,12,1.5713126982665517,30.0,30
Santa Catarina,13,1.5702991901173016,30.0,30
MTY_Guadalupe,12,1.5615524720709693,30.0,30
Mitras Centro,14,1.541820547347409,30.0,30
MTY_Guadalupe,13,1.524476378341015,30.0,30
San Pedro,14,1.614968787866979,26.666666666666668,30
Apodaca Centro,14,1.6078419428694029,26.666666666666668,30
Santa Catarina,14,1.5909798395407158,26.666666666666668,30
Santiago,12,1.5902420727420727,26.666666666666668,30
Independencia,12,1.5755924419004914,26.666666666666668,30
Escobedo,12,1.5551489721149165,26.666666666666668,30
MTY_Apodaca_Huinalá,13,1.5338155363155364,26.666666666666668,30
Cumbres Poniente,12,1.488472432743252,26.666666666666668,30
Cumbres Poniente,13,1.599269038293335,23.333333333333332,30
Santiago,13,1.5638455988455988,23.333333333333332,30
Independencia,14,1.5628767173658815,23.333333333333332,30
Escobedo,13,1.5518683160091828,23.333333333333332,30
Apodaca Centro,12,1.5487705995165948,23.333333333333332,30
San Pedro,12,1.5403419743794224,23.333333333333332,30
Carretera Nacional,13,1.5004812779812782,23.333333333333332,30
Centro,14,1.4987964265065983,23.333333333333332,30
Santa Catarina,12,1.4924263285509753,23.333333333333332,30
MTY_Apodaca_Huinalá,14,1.4776547526547528,23.333333333333332,30
Santiago,19,1.4643254893254893,23.333333333333332,30
Mitras Centro,12,1.4484173200253103,23.333333333333332,30
Independencia,13,1.442890223101557,23.333333333333332,30
Independencia,21,1.4068912866098222,23.333333333333332,30
Independencia,20,1.372041989834896,23.333333333333332,30
Cumbres Poniente,14,1.58482918304423,20.0,30
Carretera Nacional,19,1.5270202945202944,20.0,30
Santa Catarina,21,1.4962557692279055,20.0,30
Apodaca Centro,21,1.4744317668915192,20.0,30
Carretera Nacional,21,1.4668868631368632,20.0,30
San Pedro,13,1.453863183279551,20.0,30
La Fe,14,1.4424032091059955,20.0,30
San Nicolás,13,1.417702380641522,20.0,30
Escobedo,21,1.4081490343448548,20.0,30
Mitras Centro,21,1.4009988769674317,20.0,30
La Fe,13,1.5021425902385654,16.666666666666664,30
MTY_Apodaca_Huinalá,12,1.4855098605098604,16.666666666666664,30
La Fe,12,1.4613987158066104,16.666666666666664,30
Carretera Nacional,12,1.424109964109964,16.666666666666664,30
San Nicolás,21,1.4172989440470356,16.666666666666664,30
MTY_Guadalupe,21,1.3920700426023278,16.666666666666664,30
MTY_Guadalupe,19,1.3910913898606736,16.666666666666664,30
La Fe,21,1.2961011475910855,16.666666666666664,30
La Fe,20,1.4196448090952736,13.333333333333334,30
Carretera Nacional,20,1.401183261183261,13.333333333333334,30
Apodaca Centro,19,1.3889609752992105,13.333333333333334,30
San Pedro,21,1.388468077976887,13.333333333333334,30
Santa Catarina,19,1.3799433611624015,13.333333333333334,30
Centro,19,1.3760080089451714,13.333333333333334,30
Escobedo,19,1.3631159601206042,13.333333333333334,30
MTY_Guadalupe,20,1.3330989286401922,13.333333333333334,30
Santa Catarina,20,1.3264868460572794,13.333333333333334,30
Cumbres Poniente,21,1.3792865149280324,10.0,30
San Pedro,19,1.3729249191823696,10.0,30
Mitras Centro,19,1.3705959414105133,10.0,30
Santiago,21,1.3638751063751064,10.0,30
Cumbres Poniente,19,1.3631959325653633,10.0,30
Santiago,20,1.3547348022348022,10.0,30
Cumbres Poniente,20,1.3527208853300807,10.0,30
Mitras Centro,20,1.3439566102644365,10.0,30
Centro,21,1.3337277637119807,10.0,30
MTY_Apodaca_Huinalá,21,1.316728919228919,10.0,30
MTY_Apodaca_Huinalá,19,1.3146706071706074,10.0,30
San Nicolás,19,1.3135897057997006,10.0,30
Apodaca Centro,20,1.3097573672374565,10.0,30
Escobedo,20,1.3307291027685764,6.666666666666667,30
Independencia,19,1.2637770705224938,6.666666666666667,30
Santiago,18,0.9166666666666666,6.666666666666667,30
Carretera Nacional,17,0.911962481962482,6.666666666666667,30
Santiago,17,0.861111111111111,6.666666666666667,30
Santiago,16,0.8009090909090909,6.666666666666667,30
MTY_Apodaca_Huinalá,20,1.3845526695526695,3.3333333333333335,30
San Pedro,20,1.340968334195654,3.3333333333333335,30
Centro,20,1.3129138143293124,3.3333333333333335,30
La Fe,19,1.2396350103857843,3.3333333333333335,30
Carretera Nacional,22,1.0347354497354497,3.3333333333333335,30
Santiago,22,0.9809259259259259,3.3333333333333335,30
Carretera Nacional,16,0.8677439227439228,3.3333333333333335,30
Carretera Nacional,15,0.8250030525030525,3.3333333333333335,30
Santiago,15,0.816010101010101,3.3333333333333335,30
San Nicolás,11,1.1193985643985644,0.0,30
Carretera Nacional,10,1.105153735153735,0.0,30
San Pedro,11,1.10128478003478,0.0,30
Santiago,11,1.0866666666666667,0.0,30
Santa Catarina,10,1.0853493265993266,0.0,30
Carretera Nacional,11,1.0846825396825397,0.0,30
Apodaca Centro,11,1.0785016835016836,0.0,30
Escobedo,10,1.077907647907648,0.0,30
Cumbres Poniente,11,1.0745900395900396,0.0,30
San Pedro,10,1.068633052133052,0.0,30
La Fe,11,1.0680291005291005,0.0,30
Mitras Centro,11,1.066054353054353,0.0,30
Escobedo,11,1.0636760461760462,0.0,30
MTY_Apodaca_Huinalá,11,1.0631673881673882,0.0,30
San Nicolás,10,1.0609070651570651,0.0,30
Centro,11,1.0578929207760477,0.0,30
Centro,10,1.0563739807663957,0.0,30
MTY_Apodaca_Huinalá,10,1.0527777777777778,0.0,30
Santa Catarina,11,1.0452487762781881,0.0,30
MTY_Guadalupe,11,1.0399539349539348,0.0,30
Mitras Centro,10,1.0371304380000033,0.0,30
Santa Catarina,22,1.0357539682539683,0.0,30
Mitras Centro,22,1.0342821622821623,0.0,30
MTY_Guadalupe,22,1.02990157990158,0.0,30
Independencia,11,1.0285323472823473,0.0,30
San Nicolás,22,1.0202685092685093,0.0,30
MTY_Guadalupe,10,1.0127538946560686,0.0,30
San Pedro,22,1.0115270377770378,0.0,30
La Fe,10,1.0091686118892,0.0,30
Apodaca Centro,10,1.0082491582491582,0.0,30
Centro,22,1.0032352601772356,0.0,30
Cumbres Poniente,10,1.0024445729708888,0.0,30
Independencia,10,0.9871292596292597,0.0,30
Escobedo,22,0.9855331705331705,0.0,30
Santiago,10,0.9852777777777778,0.0,30
Cumbres Poniente,22,0.9750246050246051,0.0,30
La Fe,22,0.9648809523809523,0.0,30
Apodaca Centro,22,0.9630976430976432,0.0,30
Independencia,22,0.9413738576238576,0.0,30
MTY_Apodaca_Huinalá,22,0.9255555555555556,0.0,30
Apodaca Centro,18,0.8955964405964406,0.0,30
Mitras Centro,18,0.8853450253450253,0.0,30
MTY_Guadalupe,17,0.8774390665695013,0.0,30
Santa Catarina,16,0.8750138641315112,0.0,30
Mitras Centro,17,0.8725627391931741,0.0,30
Santa Catarina,18,0.8704449254449255,0.0,30
MTY_Guadalupe,18,0.8665708365708366,0.0,30
Carretera Nacional,18,0.8655952380952381,0.0,30
San Pedro,17,0.8608751721607509,0.0,30
Apodaca Centro,17,0.8603511303511303,0.0,30
San Nicolás,18,0.8566624960007314,0.0,30
La Fe,15,0.8555952380952382,0.0,30
Mitras Centro,15,0.8546451696451697,0.0,30
Santa Catarina,3,0.85,0.0,30
Independencia,16,0.8484391534391534,0.0,30
San Pedro,15,0.8475871856901269,0.0,30
Centro,18,0.8452377235194573,0.0,30
Mitras Centro,16,0.8443734968734968,0.0,30
Santa Catarina,17,0.8433304220146326,0.0,30
MTY_Guadalupe,15,0.8396114996114996,0.0,30
San Pedro,16,0.8382542530091549,0.0,30
MTY_Guadalupe,16,0.8362767264941178,0.0,30
Santa Catarina,15,0.8362231373144685,0.0,30
Cumbres Poniente,17,0.8360738822580928,0.0,30
Escobedo,16,0.8353493619670089,0.0,30
Cumbres Poniente,15,0.8345856920856921,0.0,30
Santa Catarina,1,0.8333333333333334,0.0,30
Escobedo,18,0.8302370777370777,0.0,30
Escobedo,17,0.8294179894179894,0.0,30
Centro,15,0.8282569185941396,0.0,30
Apodaca Centro,16,0.8247703222703222,0.0,30
La Fe,18,0.8247619047619048,0.0,30
Escobedo,15,0.8204365079365079,0.0,30
San Nicolás,17,0.8171041458541458,0.0,30
San Pedro,18,0.8130785064608594,0.0,30
MTY_Apodaca_Huinalá,16,0.8111111111111111,0.0,30
Independencia,18,0.8110185185185185,0.0,30
Centro,17,0.810530675321697,0.0,30
Apodaca Centro,15,0.8061916786916787,0.0,30
Cumbres Poniente,18,0.8022025197025198,0.0,30
Centro,16,0.8006938283021874,0.0,30
La Fe,4,0.8,0.0,30
La Fe,5,0.8,0.0,30
Independencia,17,0.7998881673881674,0.0,30
San Nicolás,15,0.7985860516295299,0.0,30
MTY_Apodaca_Huinalá,15,0.7942929292929293,0.0,30
San Nicolás,16,0.7903579753579754,0.0,30
Cumbres Poniente,16,0.7839191851033956,0.0,30
Santa Catarina,4,0.7833333333333333,0.0,30
Santa Catarina,5,0.7833333333333333,0.0,30
La Fe,17,0.7830112044817927,0.0,30
La Fe,16,0.7739161220043572,0.0,30
MTY_Apodaca_Huinalá,17,0.7711111111111111,0.0,30
Independencia,15,0.7605239368474662,0.0,30
MTY_Apodaca_Huinalá,18,0.7584920634920634,0.0,30
Independencia,4,0.75,0.0,30
Santa Catarina,6,0.75,0.0,30
Independencia,1,0.7333333333333333,0.0,30
Santa Catarina,2,0.7333333333333333,0.0,30
Independencia,5,0.7166666666666667,0.0,30
Independencia,6,0.7166666666666667,0.0,30
La Fe,2,0.7166666666666667,0.0,30
Escobedo,6,0.7,0.0,30
Carretera Nacional,9,0.6747222222222222,0.0,30
Apodaca Centro,6,0.6666666666666666,0.0,30
La Fe,6,0.6666666666666666,0.0,30
Centro,8,0.6599119399119399,0.0,30
Mitras Centro,8,0.6517063492063493,0.0,30
Escobedo,1,0.65,0.0,30
Independencia,2,0.65,0.0,30
Escobedo,2,0.6333333333333333,0.0,30
Independencia,3,0.6333333333333333,0.0,30
San Pedro,8,0.6329497354497354,0.0,30
Mitras Centro,9,0.6249758792405852,0.0,30
La Fe,9,0.6244444444444445,0.0,30
Apodaca Centro,1,0.6166666666666667,0.0,30
Apodaca Centro,3,0.6166666666666667,0.0,30
Escobedo,4,0.6166666666666667,0.0,30
MTY_Guadalupe,8,0.6152038593215063,0.0,30
Centro,3,0.6138888888888888,0.0,30
La Fe,8,0.6126190476190476,0.0,30
Independencia,8,0.6113675213675214,0.0,30
Centro,1,0.611111111111111,0.0,30
Apodaca Centro,8,0.6100925925925925,0.0,30
Cumbres Poniente,8,0.6052248677248677,0.0,30
Santa Catarina,9,0.604978354978355,0.0,30
Cumbres Poniente,9,0.6045634920634921,0.0,30
San Nicolás,9,0.6040207768381143,0.0,30
San Nicolás,8,0.602888028151186,0.0,30
Apodaca Centro,4,0.6,0.0,30
Apodaca Centro,5,0.6,0.0,30
Cumbres Poniente,5,0.6,0.0,30
Santiago,8,0.6,0.0,30
Carretera Nacional,8,0.5994444444444444,0.0,30
Escobedo,8,0.5983333333333333,0.0,30
Apodaca Centro,9,0.5976984126984127,0.0,30
MTY_Apodaca_Huinalá,8,0.5928571428571429,0.0,30
MTY_Guadalupe,9,0.5924229691876751,0.0,30
San Pedro,9,0.589023569023569,0.0,30
Centro,9,0.5876402486402487,0.0,30
MTY_Apodaca_Huinalá,9,0.5873015873015872,0.0,30
Santa Catarina,8,0.5864072039072039,0.0,30
Apodaca Centro,2,0.5833333333333334,0.0,30
Centro,2,0.5833333333333334,0.0,30
La Fe,1,0.5833333333333334,0.0,30
La Fe,3,0.5833333333333334,0.0,30
Independencia,9,0.5759559884559884,0.0,30
San Pedro,2,0.5722222222222223,0.0,30
Santiago,9,0.569047619047619,0.0,30
Escobedo,9,0.5655988455988455,0.0,30
Centro,6,0.5611111111111111,0.0,30
Centro,4,0.5583333333333333,0.0,30
Cumbres Poniente,3,0.55,0.0,30
Cumbres Poniente,4,0.55,0.0,30
Cumbres Poniente,6,0.55,0.0,30
Centro,5,0.5333333333333333,0.0,30
Cumbres Poniente,1,0.5333333333333333,0.0,30
Cumbres Poniente,2,0.5333333333333333,0.0,30
Escobedo,5,0.5333333333333333,0.0,30
Mitras Centro,4,0.5166666666666667,0.0,30
MTY_Guadalupe,2,0.5111111111111112,0.0,30
Mitras Centro,2,0.5055555555555555,0.0,30
San Pedro,5,0.5055555555555555,0.0,30
MTY_Guadalupe,6,0.49444444444444446,0.0,30
Mitras Centro,3,0.49444444444444446,0.0,30
MTY_Guadalupe,1,0.48333333333333334,0.0,30
MTY_Guadalupe,5,0.48333333333333334,0.0,30
Mitras Centro,5,0.48333333333333334,0.0,30
San Pedro,1,0.48333333333333334,0.0,30
MTY_Guadalupe,3,0.4777777777777778,0.0,30
MTY_Guadalupe,4,0.4777777777777778,0.0,30
Mitras Centro,1,0.4777777777777778,0.0,30
Mitras Centro,6,0.4722222222222222,0.0,30
San Nicolás,6,0.4722222222222222,0.0,30
Escobedo,3,0.4666666666666667,0.0,30
San Nicolás,3,0.4666666666666667,0.0,30
San Nicolás,4,0.4666666666666667,0.0,30
San Pedro,4,0.4611111111111111,0.0,30
San Nicolás,1,0.45555555555555555,0.0,30
San Nicolás,2,0.4388888888888889,0.0,30
San Nicolás,5,0.4388888888888889,0.0,30
San Pedro,6,0.4388888888888889,0.0,30
San Pedro,3,0.4222222222222222,0.0,30
Santa Catarina,23,0.2922222222222222,0.0,30
Santa Catarina,0,0.2694444444444445,0.0,30
Centro,23,0.26201058201058197,0.0,30
Independencia,0,0.25666666666666665,0.0,30
Independencia,23,0.24555555555555558,0.0,30
Centro,0,0.2453968253968254,0.0,30
Apodaca Centro,23,0.245,0.0,30
Apodaca Centro,0,0.24333333333333332,0.0,30
Cumbres Poniente,23,0.23444444444444443,0.0,30
Cumbres Poniente,0,0.23055555555555557,0.0,30
La Fe,23,0.21944444444444444,0.0,30
Escobedo,23,0.21666666666666667,0.0,30
Escobedo,0,0.21388888888888888,0.0,30
Mitras Centro,23,0.20944444444444443,0.0,30
San Pedro,23,0.20865079365079364,0.0,30
MTY_Guadalupe,23,0.2061111111111111,0.0,30
MTY_Guadalupe,0,0.19722222222222224,0.0,30
Mitras Centro,0,0.19499999999999998,0.0,30
San Pedro,0,0.19103174603174602,0.0,30
San Nicolás,0,0.18261904761904763,0.0,30
San Nicolás,23,0.18055555555555555,0.0,30
Santa Catarina,7,0.17134920634920636,0.0,30
Independencia,7,0.1571031746031746,0.0,30
La Fe,0,0.15555555555555553,0.0,30
Apodaca Centro,7,0.1489285714285714,0.0,30
Cumbres Poniente,7,0.14457671957671955,0.0,30
Centro,7,0.14331797831797832,0.0,30
La Fe,7,0.13507936507936508,0.0,30
Mitras Centro,7,0.12818783068783068,0.0,30
San Pedro,7,0.1274242424242424,0.0,30
MTY_Guadalupe,7,0.1258201058201058,0.0,30
Escobedo,7,0.1184126984126984,0.0,30
San Nicolás,7,0.11495069745069746,0.0,30
Carretera Nacional,0,0.0,0.0,30
Carretera Nacional,1,0.0,0.0,30
Carretera Nacional,2,0.0,0.0,30
Carretera Nacional,3,0.0,0.0,30
Carretera Nacional,4,0.0,0.0,30
Carretera Nacional,5,0.0,0.0,30
Carretera Nacional,6,0.0,0.0,30
Carretera Nacional,7,0.0,0.0,30
Carretera Nacional,23,0.0,0.0,30
MTY_Apodaca_Huinalá,0,0.0,0.0,30
MTY_Apodaca_Huinalá,1,0.0,0.0,30
MTY_Apodaca_Huinalá,2,0.0,0.0,30
MTY_Apodaca_Huinalá,3,0.0,0.0,30
MTY_Apodaca_Huinalá,4,0.0,0.0,30
MTY_Apodaca_Huinalá,5,0.0,0.0,30
MTY_Apodaca_Huinalá,6,0.0,0.0,30
MTY_Apodaca_Huinalá,7,0.0,0.0,30
MTY_Apodaca_Huinalá,23,0.0,0.0,30
Santiago,0,0.0,0.0,30
Santiago,1,0.0,0.0,30
Santiago,2,0.0,0.0,30
Santiago,3,0.0,0.0,30
Santiago,4,0.0,0.0,30
Santiago,5,0.0,0.0,30
Santiago,6,0.0,0.0,30
Santiago,7,0.0,0.0,30
Santiago,23,0.0,0.0,30
